participantId,angle,response,feedback,trial,correct,phase
076DF939850047A7A9AC862E2EF5A47E,42.png,0,0,23,1,practice
076DF939850047A7A9AC862E2EF5A47E,56.png,1,0,24,0,practice
076DF939850047A7A9AC862E2EF5A47E,70.png,0,NA,25,NA,test
076DF939850047A7A9AC862E2EF5A47E,70.png,0,NA,26,NA,test
076DF939850047A7A9AC862E2EF5A47E,14.png,1,NA,27,NA,test
076DF939850047A7A9AC862E2EF5A47E,14.png,1,NA,28,NA,test
076DF939850047A7A9AC862E2EF5A47E,77.png,0,NA,29,NA,test
076DF939850047A7A9AC862E2EF5A47E,77.png,0,NA,30,NA,test
076DF939850047A7A9AC862E2EF5A47E,49.png,1,NA,31,NA,test
076DF939850047A7A9AC862E2EF5A47E,49.png,1,NA,32,NA,test
076DF939850047A7A9AC862E2EF5A47E,42.png,1,NA,33,NA,test
076DF939850047A7A9AC862E2EF5A47E,42.png,1,NA,34,NA,test
076DF939850047A7A9AC862E2EF5A47E,56.png,0,NA,35,NA,test
076DF939850047A7A9AC862E2EF5A47E,56.png,1,NA,36,NA,test
076DF939850047A7A9AC862E2EF5A47E,35.png,1,NA,37,NA,test
076DF939850047A7A9AC862E2EF5A47E,35.png,1,NA,38,NA,test
076DF939850047A7A9AC862E2EF5A47E,21.png,1,NA,39,NA,test
076DF939850047A7A9AC862E2EF5A47E,21.png,1,NA,40,NA,test
076DF939850047A7A9AC862E2EF5A47E,63.png,0,NA,41,NA,test
076DF939850047A7A9AC862E2EF5A47E,63.png,0,NA,42,NA,test
076DF939850047A7A9AC862E2EF5A47E,7.png,1,NA,43,NA,test
076DF939850047A7A9AC862E2EF5A47E,7.png,1,NA,44,NA,test
076DF939850047A7A9AC862E2EF5A47E,84.png,0,NA,45,NA,test
076DF939850047A7A9AC862E2EF5A47E,84.png,0,NA,46,NA,test
076DF939850047A7A9AC862E2EF5A47E,28.png,1,NA,47,NA,test
076DF939850047A7A9AC862E2EF5A47E,28.png,1,NA,48,NA,test
08118FE4A7504A34B93DEC7B88ED4EB6,56.png,1,0,1,0,practice
08118FE4A7504A34B93DEC7B88ED4EB6,56.png,1,0,2,0,practice
08118FE4A7504A34B93DEC7B88ED4EB6,42.png,1,1,3,1,practice
08118FE4A7504A34B93DEC7B88ED4EB6,56.png,0,0,4,1,practice
08118FE4A7504A34B93DEC7B88ED4EB6,42.png,0,1,5,0,practice
08118FE4A7504A34B93DEC7B88ED4EB6,56.png,1,0,6,0,practice
08118FE4A7504A34B93DEC7B88ED4EB6,42.png,0,0,7,1,practice
08118FE4A7504A34B93DEC7B88ED4EB6,42.png,0,1,8,0,practice
08118FE4A7504A34B93DEC7B88ED4EB6,42.png,0,1,9,0,practice
08118FE4A7504A34B93DEC7B88ED4EB6,56.png,0,0,10,1,practice
